Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
6.4.3.1,,,Detect Events ,,,,,,
6.4.3.2,,,Analyze Events ,,,,,,
6.4.3.3,,,Respond to Incidents,,,,,,
7,Protection,,,,,,,,
7.1,Prevent ,,,,,,,,
7.1.1,,Prevent Kinetic Attack ,,,,,,,
7.1.1.1,,,Above (PK),,,,,,
7.1.1.1.1,,,,Maneuvering (PKA),,,,,
7.1.1.1.2,,,,Non-Maneuvering (PKA),,,,,
7.1.1.2,,,Surface (PK),,,,,,
7.1.1.2.1,,,,Maneuvering (PKS),,,,,
7.1.1.2.2,,,,Non-Maneuvering (PKS),,,,,
7.1.1.3,,,Sub-surface Kinetic (PK),,,,,,
7.1.1.3.1,,,,Maneuvering (PKSS),,,,,
7.1.1.3.2,,,,Non-Maneuvering (PKSS),,,,,
7.1.2,,Prevent Non-kinetic Attack ,,,,,,,
7.1.2.1,,,Above Surface (PN),,,,,,
7.1.2.2,,,Surface (PN),,,,,,
7.1.2.3,,,Sub-Surface (PN),,,,,,
7.2,Mitigate ,,,,,,,,
7.2.1,,Mitigate Lethal Effects ,,,,,,,
7.2.1.1,,,Chemical (ML),,,,,,
7.2.1.2,,,Biological (ML),,,,,,
7.2.1.2.1,,,,Contagious (MLB),,,,,
7.2.1.2.2,,,,Non-contagious (MLB),,,,,
7.2.1.3,,,Radiological (ML),,,,,,
7.2.1.4,,,Nuclear (ML),,,,,,
7.2.1.5,,,Electro Magnetic Pulse (ML),,,,,,
7.2.1.6,,,Explosives (ML),,,,,,
7.2.1.7,,,Projectiles (ML),,,,,,
7.2.1.8,,,Directed Energy (ML),,,,,,
7.2.1.9,,,Natural Hazards (ML),,,,,,
7.2.2,,Mitigate Non-lethal Effects ,,,,,,,
7.2.2.1,,,Chemical (MN),,,,,,
7.2.2.2,,,Biological (MN),,,,,,
7.2.2.2.1,,,,Contagious (MNB),,,,,
7.2.2.2.2,,,,Non-contagious (MNB),,,,,
7.2.2.3,,,Electro Magnetic Pulse (MN),,,,,,
7.2.2.4,,,Explosives (MN),,,,,,
7.2.2.5,,,Projectiles (MN),,,,,,
7.2.2.6,,,Directed Energy (MN),,,,,,
7.2.2.7,,,Electro-Magnetic Spectrum (MN),,,,,,
7.2.2.8,,,Natural Hazards (MN),,,,,,
7.3,Research and Development ,,,,,,,,
7.3.1,,Basic Research ,,,,,,,
